CampaignID,CampaignName,StartDate,EndDate,Channel,Spend,LeadsGenerated,Conversions,RevenueGenerated,Clicks,Impressions,Likes,Shares,ROI_Percentage,CPA
CMP1168,Brand Awareness Drive,2026-03-13,2026-03-25,Event,29711.44,206,13,8317.28,739,52419,3412,2355,-72.01,2285.5
CMP1169,Holiday Campaign,2025-07-27,2025-08-13,Email,6981.4,948,245,156141.29,4308,125825,7398,237,2136.53,28.5
CMP1170,Black Friday Promo,2025-07-18,2025-08-26,Event,26642.33,774,223,72583.87,4677,12567,149,902,172.44,119.47
CMP1171,Flash Sale Campaign,2025-06-18,2025-06-27,Event,21814.74,1353,64,6379.24,4533,13357,6798,747,-70.76,340.86
CMP1172,Customer Retention Program,2025-07-20,2025-08-22,Email,7950.0,4063,1300,654280.67,15197,110264,8935,554,8129.95,6.12
CMP1173,Brand Awareness Drive,2025-11-06,2025-11-20,Influencer,24856.94,2167,23,6094.66,9345,226075,9020,1747,-75.48,1080.74
CMP1174,Holiday Campaign,2025-11-22,2025-12-13,Influencer,14212.51,1851,573,57285.52,19064,101328,6968,2528,303.06,24.8
CMP1175,Customer Retention Program,2025-05-20,2025-06-11,Influencer,6345.82,6034,239,78727.68,30257,37603,3939,2220,1140.62,26.55
CMP1176,Mega Discount Drive,2025-06-09,2025-06-24,Email,2639.13,2128,589,133632.62,10949,161023,2447,2714,4963.51,4.48
CMP1177,Holiday Campaign,2025-09-02,2025-10-05,Email,2926.08,5368,1726,595235.89,19887,155940,8220,202,20242.43,1.7
CMP1178,Email Re-engagement,2026-04-06,2026-05-07,Email,5874.16,673,59,13534.62,5389,117022,3792,1241,130.41,99.56
CMP1179,Social Media Hype,2025-07-24,2025-08-29,Social Media,9311.02,7212,1112,316656.52,39522,268370,1395,1852,3300.88,8.37
CMP1180,Social Media Hype,2025-11-17,2025-11-29,Influencer,6030.73,963,86,45499.96,3591,217744,9256,898,654.47,70.12
CMP1181,Black Friday Promo,2025-08-26,2025-09-23,Email,7699.14,2115,714,499610.54,7440,14019,7946,1003,6389.17,10.78
CMP1182,Lead Booster,2026-03-17,2026-04-06,Event,46350.44,666,101,30576.83,2734,77362,4385,1483,-34.03,458.92
CMP1183,Holiday Campaign,2026-01-21,2026-02-26,Social Media,12436.62,8118,1075,294562.53,33768,428752,849,2314,2268.51,11.57
CMP1184,Social Media Hype,2025-09-02,2025-09-18,Social Media,5390.06,9419,1172,260900.73,40954,356200,9435,1016,4740.4,4.6
CMP1185,Black Friday Promo,2026-02-17,2026-03-17,Email,6343.52,2738,724,120744.58,16575,138089,9054,2010,1803.43,8.76
CMP1186,New Product Launch,2026-02-13,2026-02-23,Social Media,12907.89,12286,3373,2031820.06,56608,88970,3891,288,15640.92,3.83
CMP1187,Lead Booster,2025-07-28,2025-08-04,Influencer,15114.66,1014,246,93378.3,4961,215664,8093,74,517.8,61.44
CMP1188,Summer Sale Blast,2026-02-08,2026-03-22,Event,7509.59,432,52,26658.98,2350,74391,7154,744,255.0,144.42
CMP1189,Festive Bonanza,2025-06-30,2025-08-09,Influencer,9819.38,4452,514,160004.08,17542,296014,6752,1890,1529.47,19.1
CMP1190,Flash Sale Campaign,2025-09-13,2025-10-04,Email,5788.29,112,16,1836.66,1538,31133,254,2888,-68.27,361.77
CMP1191,New Product Launch,2025-06-23,2025-07-31,Event,34731.01,1393,475,308690.33,4735,48420,3864,875,788.8,73.12
CMP1192,Event Outreach,2026-02-26,2026-04-04,Email,1325.93,2662,125,34372.56,9687,29489,3494,2414,2492.34,10.61
CMP1193,New Product Launch,2025-12-01,2025-12-12,Email,2137.15,4932,762,217682.45,19069,73038,2392,2833,10085.64,2.8
CMP1194,Lead Booster,2025-06-21,2025-07-30,Email,1375.88,2104,292,196227.56,8106,124580,6599,1346,14161.97,4.71
CMP1195,Summer Sale Blast,2026-04-01,2026-04-25,Event,28095.95,1320,222,108694.88,4630,51636,1504,2543,286.87,126.56
CMP1196,Referral Push,2025-09-15,2025-09-26,Social Media,5483.64,12210,969,294221.48,49640,249229,1599,31,5265.44,5.66
CMP1197,Referral Push,2025-12-25,2026-01-24,Email,1715.62,1047,218,31401.07,6640,32884,1568,1459,1730.3,7.87
CMP1198,Holiday Campaign,2025-06-28,2025-08-12,Email,7046.03,1544,431,183999.36,10063,13235,4077,2352,2511.39,16.35
CMP1199,Holiday Campaign,2025-08-06,2025-09-06,Influencer,7776.8,3221,161,54914.44,18590,177879,8033,325,606.13,48.3
CMP1200,Email Re-engagement,2025-09-17,2025-10-09,Event,32533.68,295,37,10581.06,3850,30630,6324,1359,-67.48,879.29
CMP1201,Black Friday Promo,2025-10-30,2025-12-03,Influencer,11008.71,4163,1409,367323.28,32392,125304,8144,2368,3236.66,7.81
CMP1202,Customer Retention Program,2025-09-13,2025-10-10,Event,19052.91,242,50,20914.5,3090,56502,9112,120,9.77,381.06
CMP1203,Lead Booster,2026-01-03,2026-01-23,Event,41300.48,753,56,13253.11,3451,14064,2625,2939,-67.91,737.51
CMP1204,Influencer Buzz,2025-11-21,2025-12-02,Event,49600.13,731,140,71240.33,4869,67814,9007,160,43.63,354.29
